卡通旅遊,#genre#
TVBSHD,AikanTV://api/vip.php?tvid=台湾TW&id=TVBSHD
TVBS NEWS,AikanTV://api/vip.php?tvid=台湾TW&id=TVBS NEWS
靖天综合台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天综合台
靖天日本台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天日本台
靖天卡通台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天卡通台
靖洋卡通台,AikanTV://api/vip.php?tvid=台湾TW&id=靖洋卡通台
靖天电影台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天电影台
靖天资讯台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天资讯台
靖天国际台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天国际台
靖天戏剧台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天戏剧台
靖洋戏剧台,AikanTV://api/vip.php?tvid=台湾TW&id=靖洋戏剧台
靖天育乐台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天育乐台
靖天映画台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天映画台
靖天欢乐台,AikanTV://api/vip.php?tvid=台湾TW&id=靖天欢乐台
華藝MBC綜合台,AikanTV://api/vip.php?tvid=台湾TW&id=華藝MBC綜合台
LUXE TV,AikanTV://api/vip.php?tvid=台湾TW&id=LUXE TV
Trvl旅游台,AikanTV://api/vip.php?tvid=台湾TW&id=Trvl旅游台
美食星球,AikanTV://api/vip.php?tvid=台湾TW&id=美食星球
亚洲旅游台,AikanTV://api/vip.php?tvid=台湾TW&id=亚洲旅游台
EYETV旅游,AikanTV://api/vip.php?tvid=台湾TW&id=EYETV旅游
EYETV戏剧,AikanTV://api/vip.php?tvid=台湾TW&id=EYETV戏剧
NBA TV,AikanTV://api/vip.php?tvid=台湾TW&id=NBA TV
ELEVEN1,AikanTV://api/vip.php?tvid=台湾TW&id=ELEVEN1
ELEVEN2,AikanTV://api/vip.php?tvid=台湾TW&id=ELEVEN2
ELTA日韩,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA日韩
ELTA影剧,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA影剧
ELTA综合,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA综合
ELTA娱乐,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA娱乐
ELTA生活旅游,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA生活旅游
ELTA体育1,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育1
ELTA体育2,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育2
ELTA体育3,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育3
ELTA体育4,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育4
ELTA体育MAX1,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育MAX1
ELTA体育MAX2,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育MAX2
ELTA体育MAX3,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育MAX3
ELTA体育MAX4,AikanTV://api/vip.php?tvid=台湾TW&id=ELTA体育MAX4
GinxTV电竞频道,AikanTV://api/vip.php?tvid=台湾TW&id=GinxTV电竞频道
博斯运动1,AikanTV://api/vip.php?tvid=台湾TW&id=博斯运动1
博斯运动2,AikanTV://api/vip.php?tvid=台湾TW&id=博斯运动2
博斯高球1,AikanTV://api/vip.php?tvid=台湾TW&id=博斯高球1
博斯高球2,AikanTV://api/vip.php?tvid=台湾TW&id=博斯高球2
博斯网球,AikanTV://api/vip.php?tvid=台湾TW&id=博斯网球
博斯无限,AikanTV://api/vip.php?tvid=台湾TW&id=博斯无限
博斯无限2,AikanTV://api/vip.php?tvid=台湾TW&id=博斯无限2
博斯魅力,AikanTV://api/vip.php?tvid=台湾TW&id=博斯魅力
智林体育台,AikanTV://api/vip.php?tvid=台湾TW&id=智林体育台
TRACESportStars,AikanTV://api/vip.php?tvid=台湾TW&id=TRACESportStars
i-Fun動漫台,AikanTV://api/vip.php?tvid=台湾TW&id=i-Fun動漫台
Z频道,AikanTV://api/vip.php?tvid=台湾TW&id=Z频道
Cartoonito,AikanTV://api/vip.php?tvid=台湾TW&id=Cartoonito
CN卡通频道,AikanTV://api/vip.php?tvid=台湾TW&id=CN卡通频道
尼克儿童频道,AikanTV://api/vip.php?tvid=台湾TW&id=尼克儿童频道
Boomerang,AikanTV://api/vip.php?tvid=台湾TW&id=Boomerang
NickJr儿童频道,AikanTV://api/vip.php?tvid=台湾TW&id=NickJr儿童频道
BBC Cbeebies,AikanTV://api/vip.php?tvid=台湾TW&id=BBC Cbeebies
梦工厂动画,AikanTV://api/vip.php?tvid=台湾TW&id=梦工厂动画
儿童卡通台,AikanTV://api/vip.php?tvid=台湾TW&id=儿童卡通台
PetClubTV,AikanTV://api/vip.php?tvid=台湾TW&id=PetClubTV
精选动漫台,AikanTV://api/vip.php?tvid=台湾TW&id=精选动漫台
经典卡通台,AikanTV://api/vip.php?tvid=台湾TW&id=经典卡通台
美亚电影台,AikanTV://api/vip.php?tvid=台湾TW&id=美亚电影台
Thrill惊悚,AikanTV://api/vip.php?tvid=台湾TW&id=Thrill惊悚
AXN頻道,AikanTV://api/vip.php?tvid=台湾TW&id=AXN頻道
华纳电影,AikanTV://api/vip.php?tvid=台湾TW&id=华纳电影
tVN,AikanTV://api/vip.php?tvid=台湾TW&id=tVN
StarMovies,AikanTV://api/vip.php?tvid=台湾TW&id=StarMovies
CinemaWorld,AikanTV://api/vip.php?tvid=台湾TW&id=CinemaWorld
CINEMAX,AikanTV://api/vip.php?tvid=台湾TW&id=CINEMAX
HBO,AikanTV://api/vip.php?tvid=台湾TW&id=HBO
HBOHD,AikanTV://api/vip.php?tvid=台湾TW&id=HBOHD
HBO原创,AikanTV://api/vip.php?tvid=台湾TW&id=HBO原创
HBO强档,AikanTV://api/vip.php?tvid=台湾TW&id=HBO强档
HBO家庭,AikanTV://api/vip.php?tvid=台湾TW&id=HBO家庭
好莱坞电影,AikanTV://api/vip.php?tvid=台湾TW&id=好莱坞电影
amc最爱电影,AikanTV://api/vip.php?tvid=台湾TW&id=amc最爱电影
CatchPlay电影台,AikanTV://api/vip.php?tvid=台湾TW&id=CatchPlay电影台
RockEntertainment,AikanTV://api/vip.php?tvid=台湾TW&id=RockEntertainment
RockAction,AikanTV://api/vip.php?tvid=台湾TW&id=RockAction
RockExtreme,AikanTV://api/vip.php?tvid=台湾TW&id=RockExtreme
MyCinemaEurope,AikanTV://api/vip.php?tvid=台湾TW&id=MyCinemaEurope
经典电影台,AikanTV://api/vip.php?tvid=台湾TW&id=经典电影台
采昌影剧台,AikanTV://api/vip.php?tvid=台湾TW&id=采昌影剧台
达文西频道,AikanTV://api/vip.php?tvid=台湾TW&id=达文西频道
Smart知识台,AikanTV://api/vip.php?tvid=台湾TW&id=Smart知识台
电影原聲台,AikanTV://api/vip.php?tvid=台湾TW&id=电影原聲台
客家电视台,AikanTV://api/vip.php?tvid=台湾TW&id=客家电视台
信大,AikanTV://api/vip.php?tvid=台湾TW&id=信大
原住民频道,AikanTV://api/vip.php?tvid=台湾TW&id=原住民频道
MTV音乐频道,AikanTV://api/vip.php?tvid=台湾TW&id=MTV音乐频道
古典音樂台,AikanTV://api/vip.php?tvid=台湾TW&id=古典音樂台
韩国娱乐台,AikanTV://api/vip.php?tvid=台湾TW&id=韩国娱乐台
猪哥亮歌厅秀,AikanTV://api/vip.php?tvid=台湾TW&id=猪哥亮歌厅秀
幸福空间居家台,AikanTV://api/vip.php?tvid=台湾TW&id=幸福空间居家台
空中英语教室,AikanTV://api/vip.php?tvid=台湾TW&id=空中英语教室
ELTV生活英语台,AikanTV://api/vip.php?tvid=台湾TW&id=ELTV生活英语台
互动英语频道,AikanTV://api/vip.php?tvid=台湾TW&id=互动英语频道
BBC Earth,AikanTV://api/vip.php?tvid=台湾TW&id=BBC Earth
BBC Lifestyle,AikanTV://api/vip.php?tvid=台湾TW&id=BBC Lifestyle
BBC News,AikanTV://api/vip.php?tvid=台湾TW&id=BBC News
HISTORY2,AikanTV://api/vip.php?tvid=台湾TW&id=HISTORY2
INULTRA,AikanTV://api/vip.php?tvid=台湾TW&id=INULTRA
国家地理,AikanTV://api/vip.php?tvid=台湾TW&id=国家地理
国家地理野生海外版,AikanTV://api/vip.php?tvid=台湾TW&id=国家地理野生海外版
动物星球,AikanTV://api/vip.php?tvid=台湾TW&id=动物星球
探索频道,AikanTV://api/vip.php?tvid=台湾TW&id=探索频道
探索动力,AikanTV://api/vip.php?tvid=台湾TW&id=探索动力
探索科学,AikanTV://api/vip.php?tvid=台湾TW&id=探索科学
探索亚洲,AikanTV://api/vip.php?tvid=台湾TW&id=探索亚洲
探索EVE,AikanTV://api/vip.php?tvid=台湾TW&id=探索EVE
居家乐活频道,AikanTV://api/vip.php?tvid=台湾TW&id=居家乐活频道
CI罪案偵查頻道,AikanTV://api/vip.php?tvid=台湾TW&id=CI罪案偵查頻道
亚洲美食频道,AikanTV://api/vip.php?tvid=台湾TW&id=亚洲美食频道
人间卫视,AikanTV://api/vip.php?tvid=台湾TW&id=人间卫视
大爱一台,AikanTV://api/vip.php?tvid=台湾TW&id=大爱一台
大爱二台,AikanTV://api/vip.php?tvid=台湾TW&id=大爱二台
生命电视台,AikanTV://api/vip.php?tvid=台湾TW&id=生命电视台
唯心电视,AikanTV://api/vip.php?tvid=台湾TW&id=唯心电视
创世电视,AikanTV://api/vip.php?tvid=台湾TW&id=创世电视
好消息,AikanTV://api/vip.php?tvid=台湾TW&id=好消息
好消息2,AikanTV://api/vip.php?tvid=台湾TW&id=好消息2
国会频道1,AikanTV://api/vip.php?tvid=台湾TW&id=国会频道1
国会频道2,AikanTV://api/vip.php?tvid=台湾TW&id=国会频道2
电影频道,#genre#
CCTV6,AikanTV://api/vip.php?tvid=电影FILM&id=CCTV6
CHC影迷电影,AikanTV://api/vip.php?tvid=电影FILM&id=CHC影迷电影
CHC动作电影,AikanTV://api/vip.php?tvid=电影FILM&id=CHC动作电影
CHC家庭电影,AikanTV://api/vip.php?tvid=电影FILM&id=CHC家庭电影
POP C,AikanTV://api/vip.php?tvid=电影FILM&id=POP C
Now爆谷台,AikanTV://api/vip.php?tvid=电影FILM&id=Now爆谷台
Now爆谷星影台,AikanTV://api/vip.php?tvid=电影FILM&id=Now爆谷星影台
澳门莲花,AikanTV://api/vip.php?tvid=电影FILM&id=澳门莲花
TVB功夫台粤语,AikanTV://api/vip.php?tvid=电影FILM&id=TVB功夫台
TVB功夫台国语,AikanTV://api/vip.php?tvid=电影FILM&id=TVB功夫台(备用1)
中国电影频道,AikanTV://api/vip.php?tvid=电影FILM&id=中国电影频道
Thrill,AikanTV://api/vip.php?tvid=电影FILM&id=Thrill
天映经典,AikanTV://api/vip.php?tvid=电影FILM&id=天映经典
Kix,AikanTV://api/vip.php?tvid=电影FILM&id=Kix
粤语片台,AikanTV://api/vip.php?tvid=电影FILM&id=粤语片台
美亚电影港版粤语,AikanTV://api/vip.php?tvid=电影FILM&id=美亚电影
美亚电影港版国语,AikanTV://api/vip.php?tvid=电影FILM&id=美亚电影(备用1)
HBO,AikanTV://api/vip.php?tvid=电影FILM&id=HBO
HBOHits,AikanTV://api/vip.php?tvid=电影FILM&id=HBOHits
HBOFamily,AikanTV://api/vip.php?tvid=电影FILM&id=HBOFamily
HBOSignature,AikanTV://api/vip.php?tvid=电影FILM&id=HBOSignature
Cinemax,AikanTV://api/vip.php?tvid=电影FILM&id=Cinemax
AXN,AikanTV://api/vip.php?tvid=电影FILM&id=AXN
东森电影,AikanTV://api/vip.php?tvid=电影FILM&id=东森电影
东森洋片,AikanTV://api/vip.php?tvid=电影FILM&id=东森洋片
龙祥时代,AikanTV://api/vip.php?tvid=电影FILM&id=龙祥时代
龙华电影,AikanTV://api/vip.php?tvid=电影FILM&id=龙华电影
龙华洋片,AikanTV://api/vip.php?tvid=电影FILM&id=龙华洋片
纬来电影,AikanTV://api/vip.php?tvid=电影FILM&id=纬来电影
靖天电影台,AikanTV://api/vip.php?tvid=电影FILM&id=靖天电影台
美亚电影台,AikanTV://api/vip.php?tvid=电影FILM&id=美亚电影台
Thrill惊悚,AikanTV://api/vip.php?tvid=电影FILM&id=Thrill惊悚
AXN頻道,AikanTV://api/vip.php?tvid=电影FILM&id=AXN頻道
华纳电影,AikanTV://api/vip.php?tvid=电影FILM&id=华纳电影
StarMovies,AikanTV://api/vip.php?tvid=电影FILM&id=StarMovies
CinemaWorld,AikanTV://api/vip.php?tvid=电影FILM&id=CinemaWorld
CINEMAX,AikanTV://api/vip.php?tvid=电影FILM&id=CINEMAX
HBOHD,AikanTV://api/vip.php?tvid=电影FILM&id=HBOHD
HBO原创,AikanTV://api/vip.php?tvid=电影FILM&id=HBO原创
HBO强档,AikanTV://api/vip.php?tvid=电影FILM&id=HBO强档
HBO家庭,AikanTV://api/vip.php?tvid=电影FILM&id=HBO家庭
好莱坞电影,AikanTV://api/vip.php?tvid=电影FILM&id=好莱坞电影
amc最爱电影,AikanTV://api/vip.php?tvid=电影FILM&id=amc最爱电影
CatchPlay电影台,AikanTV://api/vip.php?tvid=电影FILM&id=CatchPlay电影台
RockAction,AikanTV://api/vip.php?tvid=电影FILM&id=RockAction
RockExtreme,AikanTV://api/vip.php?tvid=电影FILM&id=RockExtreme
MyCinemaEurope,AikanTV://api/vip.php?tvid=电影FILM&id=MyCinemaEurope
经典电影台,AikanTV://api/vip.php?tvid=电影FILM&id=经典电影台
采昌影剧台,AikanTV://api/vip.php?tvid=电影FILM&id=采昌影剧台
电影原聲台,AikanTV://api/vip.php?tvid=电影FILM&id=电影原聲台
AstroPremier,AikanTV://api/vip.php?tvid=电影FILM&id=AstroPremier
ABOMoviesThangathirai,AikanTV://api/vip.php?tvid=电影FILM&id=ABOMoviesThangathirai
ZeeCinemaHD,AikanTV://api/vip.php?tvid=电影FILM&id=ZeeCinemaHD
天映频道,AikanTV://api/vip.php?tvid=电影FILM&id=天映频道
HITSMovies,AikanTV://api/vip.php?tvid=电影FILM&id=HITSMovies
Boo,AikanTV://api/vip.php?tvid=电影FILM&id=Boo
ShowCase,AikanTV://api/vip.php?tvid=电影FILM&id=ShowCase
tvNMovies,AikanTV://api/vip.php?tvid=电影FILM&id=tvNMovies
HitsNow,AikanTV://api/vip.php?tvid=电影FILM&id=HitsNow
WarnerTV,AikanTV://api/vip.php?tvid=电影FILM&id=WarnerTV
RockEntertainment,AikanTV://api/vip.php?tvid=电影FILM&id=RockEntertainment
WOWOWプライム,AikanTV://api/vip.php?tvid=电影FILM&id=WOWOWプライム
WOWOWシネマ,AikanTV://api/vip.php?tvid=电影FILM&id=WOWOWシネマ
スターチャンネル1,AikanTV://api/vip.php?tvid=电影FILM&id=スターチャンネル1
スターチャンネル2,AikanTV://api/vip.php?tvid=电影FILM&id=スターチャンネル2
スターチャンネル3,AikanTV://api/vip.php?tvid=电影FILM&id=スターチャンネル3
OCN Movies,AikanTV://api/vip.php?tvid=电影FILM&id=OCN Movies
OCN Movies 2,AikanTV://api/vip.php?tvid=电影FILM&id=OCN Movies 2
The Movie,AikanTV://api/vip.php?tvid=电影FILM&id=The Movie
PLAYY Well,AikanTV://api/vip.php?tvid=电影FILM&id=PLAYY Well
PLAYY Action Movie,AikanTV://api/vip.php?tvid=电影FILM&id=PLAYY Action Movie
PLAYY Premium Movie,AikanTV://api/vip.php?tvid=电影FILM&id=PLAYY Premium Movie
INDIE Film,AikanTV://api/vip.php?tvid=电影FILM&id=INDIE Film
Catch ON,AikanTV://api/vip.php?tvid=电影FILM&id=Catch ON
CATCH ON2,AikanTV://api/vip.php?tvid=电影FILM&id=CATCH ON2
MyCinema,AikanTV://api/vip.php?tvid=电影FILM&id=MyCinema
MyCinemaAsia,AikanTV://api/vip.php?tvid=电影FILM&id=MyCinemaAsia
MyFamilyChannel,AikanTV://api/vip.php?tvid=电影FILM&id=MyFamilyChannel
CelestialMovies,AikanTV://api/vip.php?tvid=电影FILM&id=CelestialMovies
Cinemax Spanish,AikanTV://api/vip.php?tvid=电影FILM&id=Cinemax Spanish
HBO2,AikanTV://api/vip.php?tvid=电影FILM&id=HBO2
amc,AikanTV://api/vip.php?tvid=电影FILM&id=amc
新闻频道,#genre#
CCTV13,AikanTV://api/vip.php?tvid=新闻INFO&id=CCTV13
TVB无线新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=TVB无线新闻台
Now新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=Now新闻台
神州新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=神州新闻台
TVB娱乐新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=TVB娱乐新闻
中视新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=中视新闻
公视新闻网,AikanTV://api/vip.php?tvid=新闻INFO&id=公视新闻网
民视新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=民视新闻台
台视新闻HD,AikanTV://api/vip.php?tvid=新闻INFO&id=台视新闻HD
CTS华视新闻资讯,AikanTV://api/vip.php?tvid=新闻INFO&id=CTS华视新闻资讯
壹新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=壹新闻
年代新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=年代新闻
非凡新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=非凡新闻
寰宇新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=寰宇新闻
寰宇新闻台湾,AikanTV://api/vip.php?tvid=新闻INFO&id=寰宇新闻台湾
鏡新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=鏡新闻
东森新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=东森新闻
三立新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=三立新闻台
三立iNEWS,AikanTV://api/vip.php?tvid=新闻INFO&id=三立iNEWS
中天新闻,AikanTV://api/vip.php?tvid=新闻INFO&id=中天新闻
TVBS新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=TVBS新闻台
TVBS NEWS,AikanTV://api/vip.php?tvid=新闻INFO&id=TVBS NEWS
BeritaRTM,AikanTV://api/vip.php?tvid=新闻INFO&id=BeritaRTM
8TV 八度空间,AikanTV://api/vip.php?tvid=新闻INFO&id=8TV 八度空间
SunNews,AikanTV://api/vip.php?tvid=新闻INFO&id=SunNews
Astro AEC,AikanTV://api/vip.php?tvid=新闻INFO&id=Astro AEC
TVB娱乐新闻台,AikanTV://api/vip.php?tvid=新闻INFO&id=TVB娱乐新闻台
Awani,AikanTV://api/vip.php?tvid=新闻INFO&id=Awani
Bernama,AikanTV://api/vip.php?tvid=新闻INFO&id=Bernama
CGTN,AikanTV://api/vip.php?tvid=新闻INFO&id=CGTN
CNN,AikanTV://api/vip.php?tvid=新闻INFO&id=CNN
BBCWorldNews,AikanTV://api/vip.php?tvid=新闻INFO&id=BBCWorldNews
Aljazeera,AikanTV://api/vip.php?tvid=新闻INFO&id=Aljazeera
SkyNews,AikanTV://api/vip.php?tvid=新闻INFO&id=SkyNews
ChannelNewsAsia,AikanTV://api/vip.php?tvid=新闻INFO&id=ChannelNewsAsia
日テレNews,AikanTV://api/vip.php?tvid=新闻INFO&id=日テレNews
TBS News DIG,AikanTV://api/vip.php?tvid=新闻INFO&id=TBS News DIG
HTB北海道ニュース,AikanTV://api/vip.php?tvid=新闻INFO&id=HTB北海道ニュース
STVニュース北海道,AikanTV://api/vip.php?tvid=新闻INFO&id=STVニュース北海道
ANN News,AikanTV://api/vip.php?tvid=新闻INFO&id=ANN News
ABCTVnews,AikanTV://api/vip.php?tvid=新闻INFO&id=ABCTVnews
BBCNEWS,AikanTV://api/vip.php?tvid=新闻INFO&id=BBCNEWS
TBSニュース,AikanTV://api/vip.php?tvid=新闻INFO&id=TBSニュース
KBS News,AikanTV://api/vip.php?tvid=新闻INFO&id=KBS News
SeaToday,AikanTV://api/vip.php?tvid=新闻INFO&id=SeaToday
AfricaNews,AikanTV://api/vip.php?tvid=新闻INFO&id=AfricaNews
MetroTV,AikanTV://api/vip.php?tvid=新闻INFO&id=MetroTV
KompasTV,AikanTV://api/vip.php?tvid=新闻INFO&id=KompasTV
DW English,AikanTV://api/vip.php?tvid=新闻INFO&id=DW English
CNNIndonesia,AikanTV://api/vip.php?tvid=新闻INFO&id=CNNIndonesia
MSNBC,AikanTV://api/vip.php?tvid=新闻INFO&id=MSNBC
CBCNN,AikanTV://api/vip.php?tvid=新闻INFO&id=CBCNN
NBC News,AikanTV://api/vip.php?tvid=新闻INFO&id=NBC News
CBS News,AikanTV://api/vip.php?tvid=新闻INFO&id=CBS News
ABC News,AikanTV://api/vip.php?tvid=新闻INFO&id=ABC News
ABC News Australia,AikanTV://api/vip.php?tvid=新闻INFO&id=ABC News Australia
TRT World,AikanTV://api/vip.php?tvid=新闻INFO&id=TRT World
EuroNews,AikanTV://api/vip.php?tvid=新闻INFO&id=EuroNews
DW News,AikanTV://api/vip.php?tvid=新闻INFO&id=DW News
FOX Weather,AikanTV://api/vip.php?tvid=新闻INFO&id=FOX Weather
LiveNowFox,AikanTV://api/vip.php?tvid=新闻INFO&id=LiveNowFox
Russia Today,AikanTV://api/vip.php?tvid=新闻INFO&id=Russia Today
Russia Today Doc,AikanTV://api/vip.php?tvid=新闻INFO&id=Russia Today Doc
NatGeoWild,AikanTV://api/vip.php?tvid=新闻INFO&id=NatGeoWild
TravelXP,AikanTV://api/vip.php?tvid=新闻INFO&id=TravelXP
OMNI2,AikanTV://api/vip.php?tvid=新闻INFO&id=OMNI2
CTV Canada,AikanTV://api/vip.php?tvid=新闻INFO&id=CTV Canada
CTV 2 Canada,AikanTV://api/vip.php?tvid=新闻INFO&id=CTV 2 Canada
日韩频道,#genre#
KBS 1,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS 1
KBS 2,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS 2
KBS WORLD,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS WORLD
KBS NEWS,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS NEWS
KBS NDRAMA,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS NDRAMA
KBS JOY,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS JOY
KBS LIFE,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS LIFE
KBS LTORY,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS LTORY
KBS KIDS,AikanTV://api/tv.php?tvid=韩国kbs&id=KBS KIDS
ABCテレビ,AikanTV://api/tv.php?tvid=测试日本&id=ABCテレビ
BS-TBS,AikanTV://api/tv.php?tvid=测试日本&id=BS-TBS
BSアニマックス,AikanTV://api/tv.php?tvid=测试日本&id=BSアニマックス
BSテレ東,AikanTV://api/tv.php?tvid=测试日本&id=BSテレ東
BSフジ,AikanTV://api/tv.php?tvid=测试日本&id=BSフジ
BS日テレ,AikanTV://api/tv.php?tvid=测试日本&id=BS日テレ
BS朝日,AikanTV://api/tv.php?tvid=测试日本&id=BS朝日
J Sports 1,AikanTV://api/tv.php?tvid=测试日本&id=J Sports 1
J Sports 2,AikanTV://api/tv.php?tvid=测试日本&id=J Sports 2
J Sports 3,AikanTV://api/tv.php?tvid=测试日本&id=J Sports 3
J Sports 4,AikanTV://api/tv.php?tvid=测试日本&id=J Sports 4
MBS毎日放送,AikanTV://api/tv.php?tvid=测试日本&id=MBS毎日放送
NHK BS1,AikanTV://api/tv.php?tvid=测试日本&id=NHK BS1
NHK BSプレミアム,AikanTV://api/tv.php?tvid=测试日本&id=NHK BSプレミアム
NHK Eテレ,AikanTV://api/tv.php?tvid=测试日本&id=NHK Eテレ
NHK 総合,AikanTV://api/tv.php?tvid=测试日本&id=NHK 総合
NHK大阪 総合,AikanTV://api/tv.php?tvid=测试日本&id=NHK大阪 総合
TBS,AikanTV://api/tv.php?tvid=测试日本&id=TBS
TOKYO MX,AikanTV://api/tv.php?tvid=测试日本&id=TOKYO MX
WOWOW シネマ,AikanTV://api/tv.php?tvid=测试日本&id=WOWOW シネマ
WOWOW プライム,AikanTV://api/tv.php?tvid=测试日本&id=WOWOW プライム
WOWOW ライブ,AikanTV://api/tv.php?tvid=测试日本&id=WOWOW ライブ
キッズステーション,AikanTV://api/tv.php?tvid=测试日本&id=キッズステーション
ゴルフネットワーク,AikanTV://api/tv.php?tvid=测试日本&id=ゴルフネットワーク
スカイA,AikanTV://api/tv.php?tvid=测试日本&id=スカイA
スターチャンネル1,AikanTV://api/tv.php?tvid=测试日本&id=スターチャンネル1
スターチャンネル2,AikanTV://api/tv.php?tvid=测试日本&id=スターチャンネル2
スターチャンネル3,AikanTV://api/tv.php?tvid=测试日本&id=スターチャンネル3
ディスカバリー,AikanTV://api/tv.php?tvid=测试日本&id=ディスカバリー
テレビ大阪,AikanTV://api/tv.php?tvid=测试日本&id=テレビ大阪
テレビ朝日,AikanTV://api/tv.php?tvid=测试日本&id=テレビ朝日
テレビ東京,AikanTV://api/tv.php?tvid=测试日本&id=テレビ東京
ヒストリーチャンネル,AikanTV://api/tv.php?tvid=测试日本&id=ヒストリーチャンネル
フジテレビ,AikanTV://api/tv.php?tvid=测试日本&id=フジテレビ
ホームドラマチャンネル,AikanTV://api/tv.php?tvid=测试日本&id=ホームドラマチャンネル
ミュージック?ジャパンTV,AikanTV://api/tv.php?tvid=测试日本&id=ミュージック?ジャパンTV
旅チャンネル,AikanTV://api/tv.php?tvid=测试日本&id=旅チャンネル
日テレジータス,AikanTV://api/tv.php?tvid=测试日本&id=日テレジータス
日本テレビ,AikanTV://api/tv.php?tvid=测试日本&id=日本テレビ
日本映画,AikanTV://api/tv.php?tvid=测试日本&id=日本映画
時代劇場,AikanTV://api/tv.php?tvid=测试日本&id=時代劇場
衛星劇場,AikanTV://api/tv.php?tvid=测试日本&id=衛星劇場
TOKYO MX1,AikanTV://api/tv.php?tvid=日本2&id=TOKYO MX1
TBS TBSテレビ,AikanTV://api/tv.php?tvid=日本2&id=TBS TBSテレビ
NIPPON TV,AikanTV://api/tv.php?tvid=日本2&id=NIPPON TV
TV TOKYO,AikanTV://api/tv.php?tvid=日本2&id=TV TOKYO
TV ASAHI,AikanTV://api/tv.php?tvid=日本2&id=TV ASAHI
FUJI TV,AikanTV://api/tv.php?tvid=日本2&id=FUJI TV
MBS,AikanTV://api/tv.php?tvid=日本2&id=MBS
YTY,AikanTV://api/tv.php?tvid=日本2&id=YTY
TVO,AikanTV://api/tv.php?tvid=日本2&id=TVO
SUN,AikanTV://api/tv.php?tvid=日本2&id=SUN
ABC,AikanTV://api/tv.php?tvid=日本2&id=ABC
8カンテレ,AikanTV://api/tv.php?tvid=日本2&id=8カンテレ
ファミリー剧场,AikanTV://api/tv.php?tvid=日本2&id=ファミリー剧场
EISEI GEKIJO,AikanTV://api/tv.php?tvid=日本2&id=EISEI GEKIJO
MTV,AikanTV://api/tv.php?tvid=日本2&id=MTV
MUSIC JP,AikanTV://api/tv.php?tvid=日本2&id=MUSIC JP
DISNEY CHANNEL,AikanTV://api/tv.php?tvid=日本2&id=DISNEY CHANNEL
ANIMAX,AikanTV://api/tv.php?tvid=日本2&id=ANIMAX
DISNEY JUNIOR,AikanTV://api/tv.php?tvid=日本2&id=DISNEY JUNIOR
马来频道,#genre#
SukanRTM,AikanTV://api/vip.php?tvid=马来MY&id=SukanRTM
BeritaRTM,AikanTV://api/vip.php?tvid=马来MY&id=BeritaRTM
DramaSangat,AikanTV://api/vip.php?tvid=马来MY&id=DramaSangat
LOL,AikanTV://api/vip.php?tvid=马来MY&id=LOL
TV1,AikanTV://api/vip.php?tvid=马来MY&id=TV1
TV2,AikanTV://api/vip.php?tvid=马来MY&id=TV2
TV3,AikanTV://api/vip.php?tvid=马来MY&id=TV3
